Id,SalePrice
1461,128452.58
1462,153249.5
1463,182228.22
1464,184043.32
1465,205468.39
1466,185847.0
1467,172262.04
1468,173682.03
1469,173271.71
1470,121783.0
1471,186714.27
1472,87031.5
1473,93143.5
1474,151815.0
1475,126417.3
1476,397212.74
1477,257016.51
1478,314165.33
1479,240449.97
1480,462824.35
1481,308827.82
1482,209943.61
1483,176347.13
1484,168844.03
1485,161956.85
1486,200890.02
1487,347631.12
1488,243789.5
1489,210308.91
1490,198493.1
1491,192263.95
1492,97581.36
1493,175439.19
1494,292872.27
1495,297563.43
1496,221356.25
1497,188837.97
1498,155754.13
1499,152230.32
1500,156932.44
1501,172436.0
1502,150453.73
1503,290769.38
1504,227487.82
1505,217012.18
1506,178816.9
1507,231541.02
1508,201671.07
1509,162945.0
1510,149850.37
1511,150618.59
1512,159712.0
1513,154947.91
1514,177189.62
1515,195324.0
1516,165897.85
1517,160494.45
1518,129328.5
1519,228767.22
1520,137829.75
1521,146423.09
1522,165424.0
1523,116886.68
1524,124961.08
1525,131033.0
1526,128325.0
1527,102886.71
1528,134306.35
1529,140866.75
1530,162365.91
1531,134533.0
1532,107335.0
1533,142733.34
1534,119360.5
1535,160731.33
1536,113248.01
1537,88716.93
1538,185270.06
1539,222429.82
1540,133827.44
1541,151212.76
1542,151833.84
1543,215318.23
1544,87922.42
1545,99703.71
1546,125314.0
1547,144365.18
1548,136541.0
1549,113722.92
1550,147228.21
1551,110194.0
1552,151672.32
1553,156581.97
1554,114894.82
1555,174323.65
1556,103672.76
1557,113454.44
1558,87903.44
1559,132802.0
1560,151050.5
1561,156403.77
1562,125833.0
1563,124596.0
1564,155903.64
1565,153767.87
1566,236467.56
1567,82600.5
1568,223013.77
1569,151036.53
1570,133941.43
1571,140459.12
1572,152430.25
1573,238693.41
1574,118277.36
1575,211744.97
1576,216284.92
1577,199439.38
1578,156681.12
1579,145054.6
1580,191860.0
1581,135792.0
1582,127557.6
1583,332848.22
1584,235834.5
1585,139907.0
1586,78633.0
1587,105923.73
1588,150734.34
1589,110436.87
1590,133343.58
1591,109007.59
1592,130342.87
1593,113361.02
1594,158990.39
1595,137702.84
1596,229957.33
1597,181809.73
1598,186190.08
1599,209663.91
1600,194452.29
1601,74056.93
1602,107050.95
1603,98104.29
1604,271967.65
1605,253204.87
1606,168283.0
1607,174940.48
1608,207486.14
1609,189785.94
1610,156611.12
1611,152583.99
1612,168798.54
1613,165337.94
1614,118563.1
1615,88965.0
1616,81626.0
1617,86372.5
1618,128233.1
1619,134783.0
1620,172525.63
1621,148625.32
1622,149728.6
1623,291465.06
1624,214091.72
1625,132560.58
1626,171639.0
1627,193436.5
1628,288179.38
1629,176342.45
1630,365465.05
1631,225559.81
1632,251473.76
1633,157491.44
1634,182619.32
1635,184945.82
1636,162840.93
1637,179802.87
1638,207823.45
1639,181797.56
1640,245311.15
1641,188382.52
1642,218277.26
1643,222094.53
1644,218016.63
1645,180873.5
1646,155447.32
1647,164158.56
1648,135786.5
1649,137789.33
1650,120870.5
1651,122172.08
1652,88395.5
1653,92123.0
1654,158094.0
1655,146747.44
1656,148630.0
1657,157690.0
1658,151405.0
1659,135829.94
1660,149701.37
1661,443009.74
1662,368760.37
1663,380943.9
1664,451287.25
1665,304937.08
1666,323679.75
1667,356519.78
1668,331588.92
1669,324303.83
1670,354188.42
1671,276972.54
1672,484763.75
1673,311499.36
1674,250793.56
1675,190114.09
1676,193598.54
1677,207184.97
1678,470155.93
1679,370602.09
1680,330516.17
1681,264097.02
1682,303026.47
1683,185489.14
1684,169333.85
1685,174766.5
1686,170778.8
1687,159687.42
1688,190884.24
1689,190597.79
1690,184902.8
1691,169250.59
1692,252489.66
1693,161106.76
1694,186646.97
1695,164361.26
1696,272685.19
1697,166662.93
1698,354505.14
1699,334364.54
1700,230460.04
1701,251437.67
1702,260911.17
1703,262049.33
1704,297401.32
1705,240556.75
1706,442204.38
1707,211386.62
1708,223691.49
1709,292293.88
1710,230979.86
1711,259339.66
1712,241490.82
1713,252522.01
1714,219613.06
1715,201779.58
1716,184922.53
1717,162137.92
1718,144203.52
1719,209578.61
